Timestamp,LogLevel,Message
"2024-10-30 02:08:39,153",INFO,"Details for website https://www.westerntc.edu/: {'Category': 'College', 'State': 'WI', 'City': 'La Crosse', 'Institution': 'Western Technical College'}"
"2024-10-30 02:08:39,483",INFO,R- Successfully read robots.txt from https://www.westerntc.edu/robots.txt
"2024-10-30 02:08:39,484",INFO,"R- Disallowed paths for domain www.westerntc.edu: /includes/, /misc/, /modules/, /profiles/, /scripts/, /themes/, /CHANGELOG.txt, /cron.php, /INSTALL.mysql.txt, /INSTALL.pgsql.txt, /INSTALL.sqlite.txt, /install.php, /INSTALL.txt, /LICENSE.txt, /MAINTAINERS.txt, /update.php, /UPGRADE.txt, /xmlrpc.php, /admin/, /comment/reply/, /filter/tips/, /node/add/, /search/, /user/register/, /user/password/, /user/login/, /user/logout/, /?q=admin/, /?q=comment/reply/, /?q=filter/tips/, /?q=node/add/, /?q=search/, /?q=user/password/, /?q=user/register/, /?q=user/login/, /?q=user/logout/"
"2024-10-30 02:08:39,656",INFO,Successfully fetched https://www.westerntc.edu/
"2024-10-30 02:08:39,692",INFO,Word count completed for https://www.westerntc.edu/
"2024-10-30 02:08:39,699",INFO,"Details for website https://www.wisc.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Madison', 'Institution': 'University of Wisconsin-Madison'}"
"2024-10-30 02:08:39,974",INFO,R- Successfully read robots.txt from https://www.wisc.edu/robots.txt
"2024-10-30 02:08:39,975",INFO,R- Disallowed paths for domain www.wisc.edu: None
"2024-10-30 02:08:40,110",INFO,Successfully fetched https://www.wisc.edu/
"2024-10-30 02:08:40,124",INFO,Word count completed for https://www.wisc.edu/
"2024-10-30 02:08:40,127",INFO,"Details for website https://www.uwm.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Milwaukee', 'Institution': 'University of Wisconsin-Milwaukee'}"
"2024-10-30 02:08:40,386",WARNING,"R- Failed to find https://www.uwm.edu/robots.txt, trying next protocol..."
"2024-10-30 02:08:40,769",INFO,R- Successfully read robots.txt from http://www.uwm.edu/robots.txt
"2024-10-30 02:08:40,769",INFO,"R- Disallowed paths for domain www.uwm.edu: /languages/alum-feature-on-ryan-lee-mader-uwm-class-of-2008/, /letters-science/news/alum-goes-from-german-class-to-germany-and-beyond/, *post_type=tribe_events*, *hide_subsequent_recurrences=*, *tribe-bar-date=*, *tribe-venue=*, *eventDisplay=*, *eventDate=*, *paged=*, *pagename=*, *shortcode=*, *ical=*, *outlook-ical=*, *related_series=*, *tribe_geofence=*"
"2024-10-30 02:08:40,883",ERROR,"Error fetching https://www.uwm.edu/: HTTPSConnectionPool(host='www.uwm.edu', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.uwm.edu'. (_ssl.c:1000)"")))"
"2024-10-30 02:08:40,883",INFO,"Details for website https://www.uwec.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Eau Claire', 'Institution': 'University of Wisconsin-Eau Claire'}"
"2024-10-30 02:08:41,040",INFO,R- Successfully read robots.txt from https://www.uwec.edu/robots.txt
